epoch,train_loss,train_acc,val_loss,val_acc
1,1.6527541793150708,0.1599229287090559,1.6953938328628,0.02127659574468085
2,1.5518488341902952,0.27360308285163776,1.7119151235472225,0.04964539007092199
3,1.5471071638812908,0.26396917148362237,1.7224759861087122,0.18439716312056736
4,1.5195871559411345,0.22350674373795762,1.6626083470405417,0.2127659574468085
5,1.527198293305546,0.31021194605009633,1.7555275868016778,0.20567375886524822
6,1.4983947260990769,0.30828516377649323,1.6292960728313906,0.2978723404255319
7,1.4845903735170016,0.30057803468208094,1.6167672170814893,0.2695035460992908
8,1.469606029964366,0.3371868978805395,1.7025259192108262,0.19148936170212766
9,1.4437217827247517,0.33140655105973027,1.6561642403298236,0.19148936170212766
10,1.4386847239698288,0.3217726396917148,1.7391631806150396,0.22695035460992907
11,1.4054895703732853,0.3371868978805395,1.692100573938789,0.2198581560283688
12,1.3833104059645667,0.3333333333333333,1.5836668217435796,0.23404255319148937
13,1.387069687907636,0.35645472061657035,1.7445031886405133,0.19858156028368795
14,1.3435616360004696,0.37764932562620424,1.6375107460833611,0.2765957446808511
15,1.3138174725865124,0.36608863198458574,2.402160778113291,0.07801418439716312
16,1.2981894572116506,0.42003853564547206,1.7846859321526602,0.2695035460992908
17,1.2875855851035587,0.3737957610789981,1.9046261158395321,0.18439716312056736
18,1.2473083254459507,0.4373795761078998,1.8522293161838612,0.2198581560283688
19,1.2720546536362929,0.394990366088632,1.8964893226082444,0.1773049645390071
20,1.2222165569864027,0.42196531791907516,1.697428084434347,0.19858156028368795
21,1.2246100636116573,0.3622350674373796,1.6958126599061574,0.2978723404255319
22,1.1755027692901376,0.44315992292870904,1.7719892246503357,0.2695035460992908
23,1.1597717766127835,0.4393063583815029,1.8043820316909898,0.24822695035460993
24,1.148313248088594,0.42196531791907516,1.7644646387573675,0.2127659574468085
25,1.0873743341607625,0.4913294797687861,2.0856768197201667,0.20567375886524822
26,1.1511216374950373,0.41040462427745666,1.7789074376965246,0.2978723404255319
27,1.0885113321517474,0.4701348747591522,1.751582366354922,0.14893617021276595
28,1.165432995913805,0.42003853564547206,1.7446834838136713,0.2907801418439716
29,1.043879358295301,0.48554913294797686,1.9846416973898597,0.3333333333333333
30,1.0812721583195504,0.5028901734104047,2.0609454584459885,0.36879432624113473
31,1.0312904774109064,0.47784200385356457,1.7058833541599572,0.24113475177304963
32,0.9969184272321433,0.4816955684007707,2.116162435382816,0.2198581560283688
33,0.9521410894761425,0.5317919075144508,1.8198226166109668,0.23404255319148937
34,0.9391621359281227,0.5337186897880539,2.2012351709054716,0.24113475177304963
35,0.9793085767124889,0.5009633911368016,1.9842522135863068,0.24822695035460993
36,0.9908525840395448,0.5086705202312138,2.201227420610739,0.16312056737588654
37,0.9236525439572931,0.5317919075144508,3.1008665815312813,0.3120567375886525
38,0.9615093889953084,0.4932562620423892,3.018062708225656,0.10638297872340426
39,0.9649257556551454,0.5105973025048169,2.3084140365005386,0.3262411347517731
40,0.9285319963172222,0.5240847784200385,1.8617535533634484,0.3191489361702128
