epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.6527541793150708,0.1599229287090559,1.6953938328628,0.02127659574468085,0.001
2,1.5518488341902952,0.27360308285163776,1.7119151235472225,0.04964539007092199,0.001
3,1.5471071638812908,0.26396917148362237,1.7224759861087122,0.18439716312056736,0.001
4,1.5195871559411345,0.22350674373795762,1.6626083470405417,0.2127659574468085,0.001
5,1.527198293305546,0.31021194605009633,1.7555275868016778,0.20567375886524822,0.001
6,1.4983947260990769,0.30828516377649323,1.6292960728313906,0.2978723404255319,0.001
7,1.4845903735170016,0.30057803468208094,1.6167672170814893,0.2695035460992908,0.001
8,1.469606029964366,0.3371868978805395,1.7025259192108262,0.19148936170212766,0.001
9,1.4437217827247517,0.33140655105973027,1.6561642403298236,0.19148936170212766,0.001
10,1.4386847239698288,0.3217726396917148,1.7391631806150396,0.22695035460992907,0.001
11,1.4054895703732853,0.3371868978805395,1.692100573938789,0.2198581560283688,0.001
12,1.3833104059645667,0.3333333333333333,1.5836668217435796,0.23404255319148937,0.001
13,1.387069687907636,0.35645472061657035,1.7445031886405133,0.19858156028368795,0.001
14,1.3435616360004696,0.37764932562620424,1.6375107460833611,0.2765957446808511,0.001
15,1.3138174725865124,0.36608863198458574,2.402160778113291,0.07801418439716312,0.001
16,1.2981894572116506,0.42003853564547206,1.7846859321526602,0.2695035460992908,0.001
17,1.2875855851035587,0.3737957610789981,1.9046261158395321,0.18439716312056736,0.001
18,1.2473083254459507,0.4373795761078998,1.8522293161838612,0.2198581560283688,0.0005
19,1.2459147913607558,0.4161849710982659,1.8120183023155159,0.1773049645390071,0.0005
20,1.1683247771566314,0.4605009633911368,1.695643441896912,0.28368794326241137,0.0005
21,1.177164215113616,0.3872832369942196,1.6311291955041547,0.22695035460992907,0.0005
22,1.1423318928147097,0.4624277456647399,1.7115221936652,0.2553191489361702,0.0005
23,1.1289489154411418,0.4527938342967245,1.758927715585587,0.23404255319148937,0.0005
24,1.1177906300980232,0.44701348747591524,1.6735135536667303,0.24822695035460993,0.00025
25,1.05711422007897,0.48940269749518306,1.8275270090035514,0.2695035460992908,0.00025
26,1.0922948448184828,0.45664739884393063,1.6075076574974871,0.2978723404255319,0.00025
27,1.0658177465832073,0.5028901734104047,1.6747935350905074,0.2624113475177305,0.00025
28,1.0834008547152627,0.4701348747591522,1.5834810564703976,0.2553191489361702,0.00025
29,1.0376625152911294,0.48940269749518306,1.652633195227765,0.3262411347517731,0.00025
30,1.0197034187629272,0.5337186897880539,1.7855936094378748,0.3049645390070922,0.00025
31,1.006567246077837,0.5144508670520231,1.647998957769245,0.24822695035460993,0.00025
32,0.9957055110692519,0.5163776493256262,1.7712329659901611,0.2553191489361702,0.00025
33,0.9729106557162511,0.5433526011560693,1.688137871153811,0.24822695035460993,0.00025
34,0.9920540799984353,0.5183044315992292,1.7227458328220016,0.3049645390070922,0.000125
35,0.9855551540507057,0.5491329479768786,1.6664700288299128,0.2907801418439716,0.000125
36,0.9780327993550971,0.5394990366088632,1.6411809735264338,0.2907801418439716,0.000125
37,0.9612585561123886,0.5105973025048169,1.6323740465421204,0.2765957446808511,0.000125
38,0.9504382888246363,0.5452793834296724,1.7383166610771883,0.2907801418439716,0.000125
39,0.9449335515843651,0.5337186897880539,1.6628085324104795,0.2553191489361702,0.000125
40,0.9527838028005552,0.5703275529865125,1.6750598824616019,0.2765957446808511,6.25e-05
41,0.9339207286779592,0.5761078998073218,1.6973618142148281,0.2624113475177305,6.25e-05
42,0.948118748118193,0.5414258188824663,1.6965502931716594,0.2695035460992908,6.25e-05
43,0.9239223403048653,0.558766859344894,1.6809709452568216,0.2765957446808511,6.25e-05
44,0.9374823172887167,0.5722543352601156,1.6905245045398145,0.28368794326241137,6.25e-05
45,0.9149743939870125,0.5876685934489403,1.6649134387361242,0.2907801418439716,6.25e-05
46,0.9219998293529356,0.5510597302504817,1.7156196790384062,0.28368794326241137,3.125e-05
47,0.9147505283585403,0.581888246628131,1.7044109038427366,0.28368794326241137,3.125e-05
48,0.907245388954361,0.5761078998073218,1.6923744695406433,0.2978723404255319,3.125e-05
49,0.8958890761943222,0.5703275529865125,1.6976061552128894,0.28368794326241137,3.125e-05
50,0.9202606900808669,0.5568400770712909,1.6857459976318034,0.2978723404255319,3.125e-05
51,0.8893185783902574,0.5876685934489403,1.6979579460536334,0.3120567375886525,3.125e-05
52,0.893446563755616,0.5645472061657033,1.682147633944843,0.2978723404255319,1.5625e-05
53,0.9031802176969819,0.5606936416184971,1.6874801537669297,0.28368794326241137,1.5625e-05
