epoch,train_loss,train_dice,val_loss,val_dice
1,0.6550550109553106,0.41957127186910265,0.5605648644268513,0.5734365700375724
2,0.5100928818716586,0.5856930667878065,0.49044209386089016,0.5657767472522599
3,0.45808144891001645,0.6810412198576389,0.4531007879912587,0.6443022270354309
4,0.43779101792759106,0.7178281821751316,0.44446613622962367,0.7862333587192561
5,0.4251043270007499,0.7386394886498892,0.4369993584862511,0.7773498340538001
6,0.4198074855923074,0.7588095482547307,0.4387122996933093,0.7736488542522221
7,0.41882008209969235,0.7556223432560569,0.4416921692734052,0.7702436255324928
8,0.41258492850635237,0.7780773927287089,0.4315708308547203,0.659744063990989
9,0.40870901689801403,0.7860699332599501,0.424903083892007,0.7224884093073862
10,0.4044670839043497,0.7983917776242043,0.41198913315643687,0.7871675664292914
11,0.40512378514536374,0.7916863579628537,0.4177805531903037,0.7792989662848413
12,0.4029984253304965,0.7930218755764868,0.4154597214157028,0.772293118042297
13,0.39609544236683153,0.806744520380659,0.42459268397319,0.7742303738902722
14,0.40133248684041706,0.7983413194423741,0.4170233095231067,0.8059641822640385
15,0.3964449218284447,0.8034852953211775,0.4110259382952271,0.814022615879094
16,0.3955104238344628,0.8094955081210553,0.4235085339085864,0.7674386018962364
17,0.39143118470617866,0.8154892075987695,0.41773035477048587,0.7858771141972423
