epoch,train_loss,train_dice,val_loss,val_dice
1,0.5392302853764648,0.4759546651268484,0.4972363231437547,0.5270297103666719
2,0.3878848966539215,0.646911780605662,0.3652426838608725,0.6684691469584193
3,0.33953818779226413,0.7151418268834989,0.33348012156784534,0.7865637269575595
4,0.3234502267806641,0.7415647417152483,0.3256327198995721,0.7646815624437786
5,0.31442046489740283,0.7484791579178578,0.31173590701516896,0.7528345524555161
6,0.3110237780167031,0.7645933334691537,0.3067750475768532,0.8064277040816489
7,0.30834417462040103,0.7628371930956223,0.30817474531275885,0.7014837091167768
8,0.3040763933809928,0.7740644704492599,0.3013140060384536,0.7754850564968019
9,0.30013081334878744,0.7861354998819569,0.3029674707157981,0.7576636938112122
10,0.2985513463539163,0.7898684557855438,0.30846534684921306,0.7569495283422016
11,0.29792765454615955,0.7820100394400908,0.3094162523768665,0.8103818187401408
12,0.29642130191307614,0.784531332513829,0.30205977371051196,0.8206867100227446
13,0.2950989709385318,0.7797655167511708,0.3097701249865904,0.7637437642330215
14,0.29128906296788104,0.7854894362583061,0.30085181500319214,0.7694796678565797
15,0.2917912625007988,0.8163386227398957,0.31210655719041824,0.804485254344486
16,0.2904138615634775,0.825473185184706,0.3271419446737993,0.668798724721585
17,0.2904905174989157,0.8252199514542219,0.31682746090172303,0.8289907230680102
18,0.29151776892379155,0.8099183684185997,0.29932152176098453,0.8378138219316801
19,0.2904217386415585,0.8183624146052593,0.297834913911564,0.8436623435644877
20,0.28831665920470045,0.8062903491944229,0.29830751274268896,0.8523323017926443
21,0.28629562281882825,0.8352551498870158,0.30952319097039954,0.7230351812073162
22,0.2902954309947132,0.8268940163091056,0.29806335053096217,0.801524294983773
23,0.2854459811909211,0.8456364025414916,0.2994713494775906,0.8620385382147062
24,0.285170208334614,0.8421522914745647,0.30426680644796716,0.858902286915552
25,0.28545642061245874,0.8439901883429196,0.29540795078944593,0.7801190036393347
26,0.28657478345027243,0.8361883439857107,0.29725585312449504,0.8074260659161068
27,0.2861499156358946,0.8378375193461235,0.2974546251907235,0.8447551163179534
28,0.2840428037732994,0.8464886344621836,0.3039433498800333,0.706544551111403
29,0.2844592892984652,0.8506015480491164,0.3126059710048139,0.6719913638773418
30,0.2820258773091235,0.8562067064596581,0.30057345114515294,0.8428425994657335
31,0.2804968954483771,0.8686726134984605,0.29541559894347474,0.8348158668904078
32,0.28062585965184966,0.8771739561940722,0.29892514402135495,0.8228451772814706
33,0.2801790624239284,0.871995562562053,0.29811578811634154,0.7956991146008173
34,0.28018995293372656,0.867484458138288,0.2986006319988519,0.8212033134131205
35,0.27852739025042467,0.8737003367799552,0.29711964209785774,0.8503109223785854
36,0.2774389077730747,0.8790052784848089,0.29985842712977456,0.8589625401156289
37,0.2769159768838339,0.8885407396857603,0.29836774229382473,0.8280882487694422
38,0.2759380007230247,0.8910434635192002,0.30217198079584967,0.8448651940340087
39,0.2756033304287362,0.8913302466350516,0.29804992410797804,0.8123101201795396
40,0.2749751773445717,0.8958838586671365,0.30298573019293445,0.8512858727148601
41,0.27456764710845105,0.8955732865037078,0.30102482973597944,0.820459127780937
42,0.2730336166686653,0.9024795391090176,0.3034021164556699,0.846050195041157
43,0.27235598387341425,0.908296507257254,0.3041690758518165,0.847971015742847
44,0.27194106131019985,0.9122093086724454,0.30393259947942125,0.8595322278283891
45,0.27177029359757593,0.9098719582347672,0.3037846947221884,0.8453080490941093
46,0.27107285354962,0.9141391214620264,0.30143663435730905,0.8488576192231405
47,0.27056788996711295,0.9173423337504036,0.30567121020119103,0.8302969602601868
